time,"water_level (m, NAVD88)",qc_water_level
6/1/23 12:55,0.6213634,0
6/1/23 13:00,0.5808834,0
6/1/23 13:05,0.5413834,0
6/1/23 13:10,0.5022634,0
6/1/23 13:15,0.4606434,0
6/1/23 13:20,0.4171334,0
6/1/23 13:25,0.3764434,0
6/1/23 13:30,0.3412634,0
6/1/23 13:35,0.2952534,0
6/1/23 13:40,0.2600534,0
6/1/23 13:45,0.2242234,0
6/1/23 13:50,0.1931934,0
6/1/23 13:55,0.1520234,0
6/1/23 14:00,0.1211334,0
6/1/23 14:05,0.0925734,0
6/1/23 14:10,0.0577434,0
6/1/23 14:15,0.0246734,0
6/1/23 14:20,7.83E-04,0
6/1/23 14:25,-0.0283566,0
6/1/23 14:30,-0.0543066,0
6/1/23 14:35,-0.0782866,0
6/1/23 14:40,-0.0924466,0
6/1/23 14:45,-0.1205966,0
6/1/23 14:50,-0.1402266,0
6/1/23 14:55,-0.1647866,0
6/1/23 15:00,-0.1716066,0
6/1/23 15:05,-0.1907166,0
6/1/23 15:10,-0.2048966,0
6/1/23 15:15,-0.2251966,0
6/1/23 15:20,-0.2271866,0
6/1/23 15:25,-0.2432566,0
6/1/23 15:30,-0.2426866,0
6/1/23 15:35,-0.2479166,0
6/1/23 15:40,-0.2543066,0
6/1/23 15:45,-0.2670466,0
6/1/23 15:50,-0.2553566,0
6/1/23 15:55,-0.2584566,0
6/1/23 16:00,-0.2538466,0
6/1/23 16:05,-0.2507266,0
6/1/23 16:10,-0.2538466,0
6/1/23 16:15,-0.2414366,0
6/1/23 16:20,-0.2339166,0
6/1/23 16:25,-0.2211666,0
6/1/23 16:30,-0.2141266,0
6/1/23 16:35,-0.1902166,0
6/1/23 16:40,-0.1779666,0
6/1/23 16:45,-0.1656466,0
6/1/23 16:50,-0.1421866,0
6/1/23 16:55,-0.1193866,0
6/1/23 17:00,-0.1014666,0
6/1/23 17:05,-0.0825066,0
6/1/23 17:10,-0.0635966,0
6/1/23 17:15,-0.0420866,0
6/1/23 17:20,-0.0179266,0
6/1/23 17:25,0.0065334,0
6/1/23 17:30,0.0354134,0
6/1/23 17:35,0.0552534,0
6/1/23 17:40,0.0883034,0
6/1/23 17:45,0.1155034,0
6/1/23 17:50,0.1366934,0
6/1/23 17:55,0.1713134,0
6/1/23 18:00,0.2040634,0
6/1/23 18:05,0.2278434,0
6/1/23 18:10,0.2629934,0
6/1/23 18:15,0.2920834,0
6/1/23 18:20,0.3229034,0
6/1/23 18:25,0.3556934,0
6/1/23 18:30,0.3711434,0
6/1/23 18:35,0.4080634,0
6/1/23 18:40,0.4451634,0
6/1/23 18:45,0.4664834,0
6/1/23 18:50,0.5013934,0
6/1/23 18:55,0.5385834,0
6/1/23 19:00,0.5671734,0
