datetime_pdt,sd_ppm_bare,sd_ppm_eelgrass,co2_ppm_bare,co2_ppm_eelgrass
2023-05-26 17:30:00,5.062858011211446,5.889381094327066,255.29165158643985,371.97932945020597
2023-05-26 17:35:00,118.24318439540313,172.30479092747277,211.07308481119557,311.1335587441398
2023-05-26 17:40:00,0.7937255012319072,1.822672301951817,264.5288937145615,387.50504333001845
2023-05-26 17:45:00,2.0137635961363536,0.7162238637380474,263.9847991313789,384.8489842307146
2023-05-26 17:50:00,0.5530147609934274,3.254120948269082,260.6707684883581,383.101576928541
2023-05-26 17:55:00,1.5582853036143438,1.6317453685821783,257.4062009892629,377.5797698536724
2023-05-26 18:00:00,1.1387270883389333,0.6251714419263522,255.67499095186392,375.97215513567266
2023-05-26 18:05:00,0,2.584745602174588,255.97176981541804,373.5257849126296
2023-05-26 18:10:00,0.44241180879473996,1.8159589373289255,256.0212329593437,369.75138513993465
2023-05-26 18:15:00,0.8089908512313138,1.2745297065172243,254.19109663409338,373.10640716010795
2023-05-26 18:20:00,1.111545912925573,1.0007626030873713,255.18035951260708,370.72993322915187
2023-05-26 18:25:00,0.44927131566411915,0.38283775861990293,254.8341175051273,371.0794146895866
2023-05-26 18:30:00,0.5693635441694661,0.7576577516145673,255.0814332247557,373.5257849126296
2023-05-26 18:35:00,0.6449204936984199,2.2047821183205176,254.88358064905296,374.5043330018468
2023-05-26 18:40:00,1.01067135530197,1.1431837191401621,254.29002292194474,373.3160960363688
2023-05-26 18:45:00,0.9352328223534117,1.6091334851953034,255.32874894438413,372.8268219917602
2023-05-26 18:50:00,0.5068464005360598,1.4494003616759756,255.92230667149235,371.778377610456
2023-05-26 18:55:00,0.9352328223534176,2.388265374379542,256.1201592471951,374.92371075436853
2023-05-26 19:00:00,1.4982516116909166,0.8771915038814689,258.3954638677766,375.13339963062936
2023-05-26 19:05:00,0.8813604981655501,0.7576577516145778,258.89009530703345,375.76246625941184
2023-05-26 19:10:00,1.456855436062136,2.0136926447270644,257.7524429967427,377.71956243784626
2023-05-26 19:15:00,0.4063811953983149,1.9045938013842407,260.12667390517555,377.50987356158544
2023-05-26 19:20:00,0.6207575296398534,0.7162238637380445,259.08794788273616,377.85935502202017
2023-05-26 19:25:00,1.1279332230441408,1.4536076284696673,259.2858004584389,378.2787327745418
2023-05-26 19:30:00,1.0865016143033341,0.7656755172397787,259.0384847388105,377.99914760619407
2023-05-26 19:35:00,0.8459499172831123,0.6251714419263522,257.9997587163711,377.71956243784626
2023-05-26 19:40:00,1.0106713553019837,1.0007626030873493,258.3954638677766,377.71956243784626
2023-05-26 19:45:00,0.2212059043973811,1.5153155032291437,259.2858004584389,378.62821423497655
2023-05-26 19:50:00,0.536167703544355,1.2206862629228576,257.7524429967427,377.02059951697686
2023-05-26 19:55:00,0.8089908512313259,1.3847582719179292,257.25781155748587,375.97215513567266
2023-05-26 20:00:00,1.2291367335778876,0.7814643024079366,257.7524429967427,377.4399772694985
2023-05-26 20:05:00,0.8459499172831131,0.3828377586198718,259.6320424659187,378.2088364824549
2023-05-26 20:10:00,0.33180885659604625,0.7576577516145778,259.82989504162146,378.76800681915046
2023-05-26 20:15:00,0.8673697606306767,1.9045938013842516,259.3352636023646,375.76246625941184
2023-05-26 20:20:00,0.7501457189193245,0.7162238637380445,258.3954638677766,377.85935502202017
2023-05-26 20:25:00,0.6207575296398263,1.0308222122810518,257.85136928459406,376.3216365961074
2023-05-26 20:30:00,1.8753642972983144,1.0007626030873733,258.44492701170225,375.97215513567266
2023-05-26 20:35:00,0.6207575296398263,1.3847582719179121,258.54385329955363,377.71956243784626
2023-05-26 20:40:00,0.6207575296398263,1.8226723019518152,257.85136928459406,377.02059951697686
2023-05-26 20:45:00,0.620757529639824,0.7576577516145778,256.61479068645195,377.02059951697686
2023-05-26 20:50:00,1.0106713553019784,0.9697716958874522,257.9997587163711,375.4129847989771
2023-05-26 20:55:00,0.2709207969322307,0.6251714419263474,256.91156955000605,374.22474783349907
2023-05-26 21:00:00,0.5068464005360819,1.4281781271370517,257.1588852696345,374.92371075436853
2023-05-26 21:05:00,0.7937255012319072,1.0068463223635167,257.6040535649656,373.10640716010795
2023-05-26 21:10:00,0.406381195398346,1.627998531562792,258.74170587525634,373.1763034521949
2023-05-26 21:15:00,0.7294765705801151,0.9697716958874429,258.14814814814815,373.87526637306433
2023-05-26 21:20:00,0.9187371220428003,1.250342883852714,257.85136928459406,375.552777383151
2023-05-26 21:25:00,0.686273270534422,1.1954105181462842,257.6535167088913,377.85935502202017
2023-05-26 21:30:00,1.6718981663104764,1.7888535516119715,259.73096875377007,381.5638585026282
2023-05-26 21:35:00,0.9154023120475165,2.1628356970617295,265.6665460248522,388.41369512714874
2023-05-26 21:40:00,0.9642141829826673,1.4744638968584483,268.6343346603933,393.02685040488706
2023-05-26 21:45:00,0.5361677035443733,1.1431837191401863,270.1182289781638,394.2849836624521
2023-05-26 21:50:00,0.6449204936984247,2.6661564746123663,268.93111352394743,390.7901690581048
2023-05-26 21:55:00,1.4142480798053554,3.626870036395423,264.92459886596697,384.359710186106
2023-05-26 22:00:00,0.6862732705344189,0.5742566379298544,262.4514416696827,380.8648955817588
2023-05-26 22:05:00,0.541841593864438,0.7576577516145778,260.5718422005067,381.00468816593263
2023-05-26 22:10:00,1.2291367335778953,1.3625295688722896,258.9890215948848,379.1174882795852
2023-05-26 22:15:00,0.44241180879473996,0,259.73096875377007,379.53686603210684
2023-05-26 22:20:00,0.620757529639824,1.1954105181462842,259.78043189769573,376.6711180565421
