"TOA5","CR6Series","CR6","11604","CR6.Std.09.02 RF4xx.01.01","CPU:230526_30s_sw_v1.CR6","51056","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","SEVolt_1","SEVolt_2","SEVoltage_1","SEVoltage_2"
"TS","RN","Volts","Deg C","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-01 13:37:00",96034,12.52,30.02,516.9,476.2,1281,1181
"2023-08-01 13:38:00",96035,12.52,30.1,514.9,468.1,1276,1161
"2023-08-01 13:39:00",96036,12.51,30.16,511.9,465.2,1269,1154
"2023-08-01 13:40:00",96037,12.51,30.2,506.8,461.1,1256,1144
"2023-08-01 13:41:00",96038,12.51,30.23,505.8,458.1,1254,1137
"2023-08-01 13:42:00",96039,12.51,30.26,504.8,456.1,1251,1132
"2023-08-01 13:43:00",96040,12.52,30.28,502.8,457.1,1246,1134
"2023-08-01 13:44:00",96041,12.51,30.29,503.8,450,1254,1117
"2023-08-01 13:45:00",96042,12.52,30.29,507.8,448,1259,1111
"2023-08-01 13:46:00",96043,12.51,30.29,505.8,450,1254,1114
"2023-08-01 13:47:00",96044,12.51,30.29,503.8,454.1,1249,1127
"2023-08-01 13:48:00",96045,12.51,30.3,500.8,452,1241,1121
"2023-08-01 13:49:00",96046,12.51,30.3,498.7,450.1,1236,1117
"2023-08-01 13:50:00",96047,12.51,30.31,500.8,448,1241,1111
"2023-08-01 13:51:00",96048,12.51,30.32,499.7,447,1239,1109
"2023-08-01 13:52:00",96049,12.51,30.33,501.8,458.1,1244,1136
"2023-08-01 13:53:00",96050,12.51,30.35,512.8,459.1,1271,1139
"2023-08-01 13:54:00",96051,12.51,30.37,510.9,455,1266,1129
"2023-08-01 13:55:00",96052,12.51,30.39,509.8,462.1,1264,1146
"2023-08-01 13:56:00",96053,12.51,30.4,508.8,460.1,1261,1141
"2023-08-01 13:57:00",96054,12.51,30.42,510.9,459,1266,1139
"2023-08-01 13:58:00",96055,12.51,30.44,507.8,460,1259,1141
"2023-08-01 13:59:00",96056,12.51,30.47,509.8,456,1264,1131
"2023-08-01 14:00:00",96057,12.5,30.49,507.8,454,1259,1126
"2023-08-01 14:01:00",96058,12.51,30.52,503.8,453,1249,1124
"2023-08-01 14:02:00",96059,12.51,30.55,501.8,452,1244,1121
"2023-08-01 14:03:00",96060,12.51,30.59,500.7,451,1241,1119
"2023-08-01 14:04:00",96061,12.51,30.63,505.8,451,1254,1119
"2023-08-01 14:05:00",96062,12.51,30.67,478.6,451,1186,1119
"2023-08-01 14:06:00",96063,12.51,30.71,472.5,428.8,1171,1064
"2023-08-01 14:07:00",96064,12.51,30.75,479.6,427.8,1189,1061
"2023-08-01 14:08:00",96065,12.51,30.79,483.6,426.8,1199,1059
"2023-08-01 14:09:00",96066,12.51,30.84,490.6,427.8,1216,1061
"2023-08-01 14:10:00",96067,12.51,30.89,489.6,428.8,1214,1064
"2023-08-01 14:11:00",96068,12.51,30.93,491.7,429.8,1219,1066
"2023-08-01 14:12:00",96069,12.51,30.98,494.7,431.9,1226,1070
"2023-08-01 14:13:00",96070,12.51,31.03,504.8,430.8,1251,1069
"2023-08-01 14:14:00",96071,12.51,31.08,500.7,435.9,1238,1081
"2023-08-01 14:15:00",96072,12.5,31.12,488.6,450,1211,1116
"2023-08-01 14:16:00",96073,12.51,31.17,490.7,445.9,1216,1106
"2023-08-01 14:17:00",96074,12.51,31.22,490.6,445.9,1216,1106
"2023-08-01 14:18:00",96075,12.51,31.27,491.7,512.4,1219,1271
"2023-08-01 14:19:00",96076,12.5,31.32,492.7,500.3,1221,1241
"2023-08-01 14:20:00",96077,12.51,31.36,492.7,510.4,1221,1266
"2023-08-01 14:21:00",96078,12.51,31.41,491.7,493.3,1218,1224
"2023-08-01 14:22:00",96079,12.51,31.46,488.6,485.2,1211,1204
"2023-08-01 14:23:00",96080,12.51,31.5,488.6,478.1,1211,1186
"2023-08-01 14:24:00",96081,12.51,31.55,488.6,470.1,1211,1166
"2023-08-01 14:25:00",96082,12.5,31.59,491.7,482.1,1219,1196
"2023-08-01 14:26:00",96083,12.51,31.64,491.7,480.1,1219,1191
"2023-08-01 14:27:00",96084,12.51,31.68,514.9,470.1,1276,1166
"2023-08-01 14:28:00",96085,12.51,31.73,513.8,466,1274,1156
"2023-08-01 14:29:00",96086,12.51,31.77,506.8,464,1256,1151
"2023-08-01 14:30:00",96087,12.51,31.81,504.8,460,1251,1141
"2023-08-01 14:31:00",96088,12.51,31.86,503.8,458,1249,1136
"2023-08-01 14:32:00",96089,12.51,31.9,500.8,456,1241,1129
"2023-08-01 14:33:00",96090,12.51,31.94,504.8,454,1251,1126
"2023-08-01 14:34:00",96091,12.51,31.99,510.8,451.9,1266,1121
"2023-08-01 14:35:00",96092,12.52,32.03,545.1,449.9,1351,1116
