"TOA5","CR6Series","CR6","11604","CR6.Std.09.02 RF4xx.01.01","CPU:230526_30s_sw_v1.CR6","51056","Table1"
"2023-08-01 14:36:00",96093,12.52,32.07,566.3,445.8,1403,1106
"2023-08-01 14:37:00",96094,12.52,32.12,562.2,444.9,1393,1104
"2023-08-01 14:38:00",96095,12.52,32.16,555.2,439.9,1376,1091
"2023-08-01 14:39:00",96096,12.52,32.2,557.2,439.8,1381,1091
"2023-08-01 14:40:00",96097,12.52,32.25,564.3,440.8,1398,1094
"2023-08-01 14:41:00",96098,12.52,32.29,570.3,439.8,1413,1091
"2023-08-01 14:42:00",96099,12.52,32.33,581.4,438.8,1441,1089
"2023-08-01 14:43:00",96100,12.52,32.37,587.4,438.9,1456,1089
"2023-08-01 14:44:00",96101,12.52,32.41,593.5,435.8,1471,1081
"2023-08-01 14:45:00",96102,12.52,32.45,599.5,428.7,1486,1064
"2023-08-01 14:46:00",96103,12.52,32.49,606.6,432.8,1503,1074
"2023-08-01 14:47:00",96104,12.52,32.53,609.6,432.8,1511,1076
"2023-08-01 14:48:00",96105,12.52,32.57,612.6,434.8,1518,1079
"2023-08-01 14:49:00",96106,12.51,32.6,611.6,433.8,1516,1076
"2023-08-01 14:50:00",96107,12.51,32.64,613.6,430.8,1521,1069
"2023-08-01 14:51:00",96108,12.51,32.67,618.7,427.7,1533,1061
"2023-08-01 14:52:00",96109,12.51,32.71,618.7,427.8,1533,1061
"2023-08-01 14:53:00",96110,12.51,32.74,624.7,426.7,1548,1059
"2023-08-01 14:54:00",96111,12.52,32.77,624.7,428.8,1548,1064
"2023-08-01 14:55:00",96112,12.52,32.79,630.7,427.8,1563,1061
"2023-08-01 14:56:00",96113,12.51,32.82,628.7,425.7,1558,1056
"2023-08-01 14:57:00",96114,12.51,32.85,628.7,426.7,1558,1059
"2023-08-01 14:58:00",96115,12.51,32.87,621.7,427.8,1541,1061
"2023-08-01 14:59:00",96116,12.51,32.9,628.7,426.7,1558,1059
"2023-08-01 15:00:00",96117,12.51,32.92,624.7,427.8,1548,1061
"2023-08-01 15:01:00",96118,12.51,32.94,626.7,427.8,1553,1061
"2023-08-01 15:02:00",96119,12.51,32.96,630.7,427.8,1563,1061
"2023-08-01 15:03:00",96120,12.51,32.98,630.7,428.8,1563,1064
"2023-08-01 15:04:00",96121,12.51,33,628.7,427.8,1558,1061
"2023-08-01 15:05:00",96122,12.51,33.02,630.7,428.8,1563,1064
"2023-08-01 15:06:00",96123,12.51,33.04,625.7,426.8,1551,1059
"2023-08-01 15:07:00",96124,12.51,33.06,627.7,429.8,1556,1066
"2023-08-01 15:08:00",96125,12.51,33.07,627.7,430.7,1556,1069
"2023-08-01 15:09:00",96126,12.51,33.09,630.7,422.7,1563,1049
"2023-08-01 15:10:00",96127,12.52,33.11,629.7,418.6,1561,1039
"2023-08-01 15:11:00",96128,12.52,33.13,628.7,392.4,1558,974
"2023-08-01 15:12:00",96129,12.51,33.14,626.7,381.4,1553,946
"2023-08-01 15:13:00",96130,12.51,33.16,625.7,374.3,1551,929
"2023-08-01 15:14:00",96131,12.52,33.18,622.7,365.3,1543,906
"2023-08-01 15:15:00",96132,12.52,33.2,623.6,367.4,1546,911
"2023-08-01 15:16:00",96133,12.52,33.22,625.7,364.3,1551,904
"2023-08-01 15:17:00",96134,12.51,33.24,627.7,364.3,1556,904
"2023-08-01 15:18:00",96135,12.51,33.25,625.7,358.3,1551,889
"2023-08-01 15:19:00",96136,12.51,33.27,622.6,353.3,1543,876
"2023-08-01 15:20:00",96137,12.51,33.3,620.6,359.3,1538,891
"2023-08-01 15:21:00",96138,12.51,33.32,621.6,365.4,1541,906
"2023-08-01 15:22:00",96139,12.51,33.34,620.6,362.3,1538,899
"2023-08-01 15:23:00",96140,12.51,33.36,619.6,358.3,1536,889
"2023-08-01 15:24:00",96141,12.5,33.38,619.7,361.3,1536,896
"2023-08-01 15:25:00",96142,12.51,33.4,620.6,360.4,1538,894
"2023-08-01 15:26:00",96143,12.51,33.41,619.6,362.4,1536,899
"2023-08-01 15:27:00",96144,12.51,33.43,621.7,361.3,1541,896
"2023-08-01 15:28:00",96145,12.51,33.45,623.7,363.4,1546,901
"2023-08-01 15:29:00",96146,12.51,33.46,620.6,362.3,1538,899
"2023-08-01 15:30:00",96147,12.51,33.48,620.7,361.4,1538,897
"2023-08-01 15:31:00",96148,12.51,33.49,620.7,359.3,1538,891
"2023-08-01 15:32:00",96149,12.51,33.5,621.7,359.3,1541,891
"2023-08-01 15:33:00",96150,12.51,33.51,620.7,359.3,1538,891
"2023-08-01 15:34:00",96151,12.51,33.52,621.7,360.4,1541,894
"2023-08-01 15:35:00",96152,12.51,33.53,623.7,360.3,1546,894
"2023-08-01 15:36:00",96153,12.51,33.54,618.7,359.3,1533,891
"2023-08-01 15:37:00",96154,12.51,33.55,621.7,360.6,1541,894
"2023-08-01 15:38:00",96155,12.52,33.56,620.7,358.3,1538,889
"2023-08-01 15:39:00",96156,12.52,33.56,621.7,358.3,1541,889
"2023-08-01 15:40:00",96157,12.52,33.57,621.7,356.3,1541,884
"2023-08-01 15:41:00",96158,12.52,33.57,622.7,356.3,1543,884
"2023-08-01 15:42:00",96159,12.52,33.58,622.7,357.3,1543,887
"2023-08-01 15:43:00",96160,12.52,33.58,622.7,358.3,1543,889
"2023-08-01 15:44:00",96161,12.52,33.58,621.7,356.3,1541,884
"2023-08-01 15:45:00",96162,12.52,33.58,623.7,355.3,1546,881
"2023-08-01 15:46:00",96163,12.52,33.59,622.7,355.3,1543,881
"2023-08-01 15:47:00",96164,12.52,33.59,621.7,354.3,1541,879
"2023-08-01 15:48:00",96165,12.52,33.59,621.7,353.3,1541,876
"2023-08-01 15:49:00",96166,12.51,33.59,622.7,355.3,1543,881
"2023-08-01 15:50:00",96167,12.51,33.59,621.7,352.3,1541,874
"2023-08-01 15:51:00",96168,12.51,33.59,622.7,353.3,1543,876
"2023-08-01 15:52:00",96169,12.51,33.59,622.7,356.3,1543,884
"2023-08-01 15:53:00",96170,12.51,33.59,622.7,354.3,1543,879
"2023-08-01 15:54:00",96171,12.51,33.59,623.7,353.3,1546,876
"2023-08-01 15:55:00",96172,12.51,33.59,618.6,352.3,1533,874
"2023-08-01 15:56:00",96173,12.51,33.59,621.7,353.3,1541,877
"2023-08-01 15:57:00",96174,12.52,33.59,619.7,351.3,1536,871
"2023-08-01 15:58:00",96175,12.52,33.6,620.7,350.3,1538,869
"2023-08-01 15:59:00",96176,12.51,33.6,620.6,350.3,1538,869
"2023-08-01 16:00:00",96177,12.51,33.61,618.6,349.3,1533,867
"2023-08-01 16:01:00",96178,12.51,33.61,621.7,350.3,1541,869
"2023-08-01 16:02:00",96179,12.51,33.62,622.7,350.3,1543,869
"2023-08-01 16:03:00",96180,12.52,33.62,622.7,349.3,1543,867
"2023-08-01 16:04:00",96181,12.52,33.63,620.7,350.3,1538,869
"2023-08-01 16:05:00",96182,12.52,33.64,619.6,351.3,1536,871
"2023-08-01 16:06:00",96183,12.52,33.65,620.7,351.3,1538,871
"2023-08-01 16:07:00",96184,12.52,33.67,619.6,351.3,1536,871
"2023-08-01 16:08:00",96185,12.52,33.68,621.7,351.3,1541,871
"2023-08-01 16:09:00",96186,12.52,33.69,623.7,350.3,1546,869
"2023-08-01 16:10:00",96187,12.52,33.71,622.7,351.3,1543,871
"2023-08-01 16:11:00",96188,12.52,33.72,621.7,349.3,1541,867
"2023-08-01 16:12:00",96189,12.52,33.74,622.7,349.3,1543,867
"2023-08-01 16:13:00",96190,12.52,33.75,618.7,351.3,1533,872
"2023-08-01 16:14:00",96191,12.52,33.77,621.7,350.3,1541,869
"2023-08-01 16:15:00",96192,12.52,33.78,621.7,350.3,1541,869
"2023-08-01 16:16:00",96193,12.52,33.8,621.7,350.3,1541,869
"2023-08-01 16:17:00",96194,12.52,33.82,621.7,347.3,1541,861
"2023-08-01 16:18:00",96195,12.52,33.83,621.7,348.2,1541,864
"2023-08-01 16:19:00",96196,12.52,33.85,622.7,348.2,1543,864
"2023-08-01 16:20:00",96197,12.51,33.87,622.7,347.3,1543,862
"2023-08-01 16:21:00",96198,12.52,33.88,622.7,345.2,1543,857
"2023-08-01 16:22:00",96199,12.52,33.9,619.6,347.2,1536,862
"2023-08-01 16:23:00",96200,12.51,33.91,619.6,347.2,1536,861
"2023-08-01 16:24:00",96201,12.52,33.93,620.6,349.3,1538,867
"2023-08-01 16:25:00",96202,12.52,33.94,621.7,348.2,1541,864
"2023-08-01 16:26:00",96203,12.52,33.96,622.7,346.2,1543,859
"2023-08-01 16:27:00",96204,12.52,33.97,621.7,346.2,1541,859
"2023-08-01 16:28:00",96205,12.52,33.99,622.7,345.2,1543,857
"2023-08-01 16:29:00",96206,12.52,34,622.7,346.2,1543,859
"2023-08-01 16:30:00",96207,12.52,34.01,619.6,345.2,1536,857
"2023-08-01 16:31:00",96208,12.52,34.02,621.7,345.2,1541,856
"2023-08-01 16:32:00",96209,12.52,34.03,622.7,346.3,1543,859
"2023-08-01 16:33:00",96210,12.52,34.04,621.7,345.2,1541,857
"2023-08-01 16:34:00",96211,12.52,34.05,622.7,344.2,1543,854
"2023-08-01 16:35:00",96212,12.52,34.07,621.7,346.2,1541,859
"2023-08-01 16:36:00",96213,12.52,34.08,622.7,341.2,1543,847
"2023-08-01 16:37:00",96214,12.52,34.09,621.7,343.2,1541,851
"2023-08-01 16:38:00",96215,12.52,34.1,622.7,342.2,1543,849
"2023-08-01 16:39:00",96216,12.52,34.11,623.7,343.2,1546,851
"2023-08-01 16:40:00",96217,12.52,34.11,624.6,342.2,1548,849
"2023-08-01 16:41:00",96218,12.52,34.12,624.7,342.2,1548,849
"2023-08-01 16:42:00",96219,12.52,34.13,622.7,342.2,1543,849
"2023-08-01 16:43:00",96220,12.52,34.14,622.7,342.2,1543,849
"2023-08-01 16:44:00",96221,12.52,34.14,623.7,344.2,1546,854
"2023-08-01 16:45:00",96222,12.52,34.15,622.7,342.2,1543,849
"2023-08-01 16:46:00",96223,12.52,34.15,622.7,344.2,1543,854
"2023-08-01 16:47:00",96224,12.52,34.16,622.7,341.2,1543,847
"2023-08-01 16:48:00",96225,12.52,34.16,620.6,340.1,1538,844
"2023-08-01 16:49:00",96226,12.52,34.16,620.6,340.1,1538,844
"2023-08-01 16:50:00",96227,12.52,34.15,620.6,340.1,1538,844
"2023-08-01 16:51:00",96228,12.52,34.15,619.6,342.2,1536,849
"2023-08-01 16:52:00",96229,12.52,34.15,621.6,342.2,1541,849
"2023-08-01 16:53:00",96230,12.52,34.14,621.7,342.2,1541,849
"2023-08-01 16:54:00",96231,12.52,34.14,622.7,341.2,1543,846
"2023-08-01 16:55:00",96232,12.52,34.13,623.7,341.2,1546,846
"2023-08-01 16:56:00",96233,12.52,34.12,622.6,340.1,1543,844
"2023-08-01 16:57:00",96234,12.52,34.11,621.7,340.1,1541,844
"2023-08-01 16:58:00",96235,12.52,34.1,621.6,341.2,1541,846
"2023-08-01 16:59:00",96236,12.52,34.09,624.6,341.2,1548,846
"2023-08-01 17:00:00",96237,12.52,34.07,625.7,339.1,1551,841
"2023-08-01 17:01:00",96238,12.52,34.06,624.6,340.1,1548,844
"2023-08-01 17:02:00",96239,12.52,34.04,625.7,337.1,1551,836
"2023-08-01 17:03:00",96240,12.52,34.03,625.7,336.1,1550,834
"2023-08-01 17:04:00",96241,12.52,34.01,622.7,335.1,1543,831
"2023-08-01 17:05:00",96242,12.52,33.99,622.7,336.1,1543,834
"2023-08-01 17:06:00",96243,12.52,33.97,622.7,335.1,1543,831
"2023-08-01 17:07:00",96244,12.52,33.95,624.6,334.1,1548,829
"2023-08-01 17:08:00",96245,12.52,33.93,623.6,336.1,1546,834
"2023-08-01 17:09:00",96246,12.52,33.91,622.7,335.1,1543,831
"2023-08-01 17:10:00",96247,12.52,33.88,622.7,333.1,1543,826
"2023-08-01 17:11:00",96248,12.52,33.86,623.6,334.1,1546,829
"2023-08-01 17:12:00",96249,12.52,33.83,618.6,334.1,1533,829
"2023-08-01 17:13:00",96250,12.52,33.81,620.6,334.1,1538,829
"2023-08-01 17:14:00",96251,12.51,33.78,621.6,335.1,1541,831
"2023-08-01 17:15:00",96252,12.52,33.75,624.6,336.1,1548,834
"2023-08-01 17:16:00",96253,12.52,33.72,622.6,338.1,1543,839
"2023-08-01 17:17:00",96254,12.52,33.69,619.6,340.1,1536,844
"2023-08-01 17:18:00",96255,12.52,33.66,621.6,339.1,1541,841
"2023-08-01 17:19:00",96256,12.52,33.63,620.6,336.1,1538,834
"2023-08-01 17:20:00",96257,12.52,33.6,620.6,336.1,1538,834
"2023-08-01 17:21:00",96258,12.52,33.56,621.6,335.1,1541,831
"2023-08-01 17:22:00",96259,12.52,33.53,620.6,334.1,1538,829
"2023-08-01 17:23:00",96260,12.51,33.49,622.6,333.1,1543,826
"2023-08-01 17:24:00",96261,12.51,33.46,622.6,332.1,1543,824
"2023-08-01 17:25:00",96262,12.51,33.42,624.6,331.1,1548,821
"2023-08-01 17:26:00",96263,12.51,33.38,622.6,330.1,1543,819
"2023-08-01 17:27:00",96264,12.51,33.34,615.5,330.1,1526,819
"2023-08-01 17:28:00",96265,12.51,33.3,619.6,331.1,1536,821
"2023-08-01 17:29:00",96266,12.51,33.26,620.6,330.1,1538,819
"2023-08-01 17:30:00",96267,12.51,33.21,622.6,332.1,1543,824
"2023-08-01 17:31:00",96268,12.51,33.17,622.6,332,1543,824
"2023-08-01 17:32:00",96269,12.51,33.13,622.6,331.1,1543,821
"2023-08-01 17:33:00",96270,12.51,33.08,625.6,330,1551,819
"2023-08-01 17:34:00",96271,12.51,33.03,624.6,332.1,1548,824
"2023-08-01 17:35:00",96272,12.51,32.98,625.6,332.1,1550,824
"2023-08-01 17:36:00",96273,12.51,32.93,624.5,333.1,1548,826
"2023-08-01 17:37:00",96274,12.51,32.88,624.5,332,1548,824
"2023-08-01 17:38:00",96275,12.51,32.83,622.6,331,1541,821
"2023-08-01 17:39:00",96276,12.51,32.77,621.6,331,1540,821
"2023-08-01 17:40:00",96277,12.51,32.71,621.6,332.1,1540,824
"2023-08-01 17:41:00",96278,12.51,32.66,621.6,332,1540,824
"2023-08-01 17:42:00",96279,12.51,32.6,621.5,331.1,1540,821
"2023-08-01 17:43:00",96280,12.51,32.54,621.5,331.1,1540,821
"2023-08-01 17:44:00",96281,12.52,32.47,621.5,330,1540,819
"2023-08-01 17:45:00",96282,12.51,32.41,621.5,330,1540,819
"2023-08-01 17:46:00",96283,12.52,32.34,620.5,330,1540,819
"2023-08-01 17:47:00",96284,12.52,32.27,622.5,329,1543,816
"2023-08-01 17:48:00",96285,12.52,32.21,620.5,328,1538,814
"2023-08-01 17:49:00",96286,12.52,32.14,618.5,329,1533,816
"2023-08-01 17:50:00",96287,12.52,32.07,618.3,331,1530,821
"2023-08-01 17:51:00",96288,12.52,31.99,618.5,329,1533,816
"2023-08-01 17:52:00",96289,12.52,31.92,621.5,330,1540,819
"2023-08-01 17:53:00",96290,12.52,31.85,621.5,332,1540,824
"2023-08-01 17:54:00",96291,12.52,31.77,622.5,330,1543,819
"2023-08-01 17:55:00",96292,12.51,31.7,622.5,335.1,1543,831
"2023-08-01 17:56:00",96293,12.51,31.62,623.5,333,1545,824
"2023-08-01 17:57:00",96294,12.51,31.55,623.5,332,1545,824
"2023-08-01 17:58:00",96295,12.52,31.47,624.5,331,1548,821
"2023-08-01 17:59:00",96296,12.52,31.4,625.6,332,1550,824
"2023-08-01 18:00:00",96297,12.52,31.32,624.5,331,1548,821
"2023-08-01 18:01:00",96298,12.52,31.24,624.5,333,1548,826
"2023-08-01 18:02:00",96299,12.52,31.17,624.5,329,1548,816
"2023-08-01 18:03:00",96300,12.52,31.09,625.5,331,1550,821
"2023-08-01 18:04:00",96301,12.52,31.01,625.5,331,1550,821
"2023-08-01 18:05:00",96302,12.52,30.93,625.5,331,1550,821
"2023-08-01 18:06:00",96303,12.52,30.86,625.5,333,1550,826
"2023-08-01 18:07:00",96304,12.52,30.78,626.6,332,1553,824
"2023-08-01 18:08:00",96305,12.52,30.7,626.5,332,1553,824
"2023-08-01 18:09:00",96306,12.52,30.63,624.5,333,1548,826
"2023-08-01 18:10:00",96307,12.52,30.55,624.5,333,1548,826
"2023-08-01 18:11:00",96308,12.52,30.47,627.6,334,1555,829
"2023-08-01 18:12:00",96309,12.52,30.39,627.5,333,1555,826
"2023-08-01 18:13:00",96310,12.52,30.32,626.5,333,1553,826
"2023-08-01 18:14:00",96311,12.52,30.24,626.5,330,1553,819
"2023-08-01 18:15:00",96312,12.52,30.16,626.5,332,1553,824
"2023-08-01 18:16:00",96313,12.51,30.09,625.5,332,1550,824
"2023-08-01 18:17:00",96314,12.51,30.01,627.5,333,1555,826
"2023-08-01 18:18:00",96315,12.51,29.93,626.5,330,1553,819
"2023-08-01 18:19:00",96316,12.52,29.86,625.5,330,1550,819
"2023-08-01 18:20:00",96317,12.52,29.78,624.5,329,1548,816
"2023-08-01 18:21:00",96318,12.52,29.7,626.5,330,1553,819
"2023-08-01 18:22:00",96319,12.52,29.63,627.5,330,1555,819
"2023-08-01 18:23:00",96320,12.51,29.55,623.5,331,1545,821
"2023-08-01 18:24:00",96321,12.51,29.48,623.5,331.5,1545,821
"2023-08-01 18:25:00",96322,12.51,29.4,624.5,332,1548,824
"2023-08-01 18:26:00",96323,12.52,29.33,627.5,332,1555,824
"2023-08-01 18:27:00",96324,12.52,29.25,627.5,333,1555,826
"2023-08-01 18:28:00",96325,12.52,29.18,632.6,333,1568,826
"2023-08-01 18:29:00",96326,12.52,29.11,630.6,335,1563,831
"2023-08-01 18:30:00",96327,12.51,29.03,628.6,335,1558,831
"2023-08-01 18:31:00",96328,12.51,28.96,629.6,334,1560,829
"2023-08-01 18:32:00",96329,12.51,28.89,632.6,334,1568,829
"2023-08-01 18:33:00",96330,12.51,28.82,633.6,334,1570,829
"2023-08-01 18:34:00",96331,12.51,28.74,631.5,334,1565,829
"2023-08-01 18:35:00",96332,12.51,28.67,632.6,337,1568,836
"2023-08-01 18:36:00",96333,12.51,28.6,631.5,338.1,1565,839
"2023-08-01 18:37:00",96334,12.51,28.53,631.5,336,1565,834
"2023-08-01 18:38:00",96335,12.51,28.46,631.5,334,1565,829
"2023-08-01 18:39:00",96336,12.51,28.39,633.6,335,1570,831
"2023-08-01 18:40:00",96337,12.52,28.32,633.6,336,1570,834
"2023-08-01 18:41:00",96338,12.52,28.26,636.6,340,1578,844
"2023-08-01 18:42:00",96339,12.52,28.19,634.6,338,1573,839
"2023-08-01 18:43:00",96340,12.52,28.12,633.6,338,1570,839
"2023-08-01 18:44:00",96341,12.51,28.06,634.6,339,1573,841
"2023-08-01 18:45:00",96342,12.51,27.99,635.6,343.1,1575,851
"2023-08-01 18:46:00",96343,12.51,27.92,634.6,341.1,1573,846
"2023-08-01 18:47:00",96344,12.51,27.86,635.6,339,1575,841
"2023-08-01 18:48:00",96345,12.51,27.79,635.6,338,1575,839
"2023-08-01 18:49:00",96346,12.51,27.73,634.6,338,1573,839
"2023-08-01 18:50:00",96347,12.51,27.67,635.6,339,1575,841
"2023-08-01 18:51:00",96348,12.51,27.6,637.6,339,1580,841
"2023-08-01 18:52:00",96349,12.51,27.54,634.6,340,1573,844
"2023-08-01 18:53:00",96350,12.51,27.48,634.6,340,1573,844
"2023-08-01 18:54:00",96351,12.51,27.42,637.6,340,1580,844
"2023-08-01 18:55:00",96352,12.51,27.36,637.6,342.1,1580,849
"2023-08-01 18:56:00",96353,12.51,27.3,639.6,341.1,1585,849
"2023-08-01 18:57:00",96354,12.51,27.24,637.6,342.1,1580,849
"2023-08-01 18:58:00",96355,12.51,27.18,638.6,343.1,1583,851
"2023-08-01 18:59:00",96356,12.51,27.12,636.6,343.1,1578,851
"2023-08-01 19:00:00",96357,12.51,27.06,638.6,344,1583,854
"2023-08-01 19:01:00",96358,12.51,27.01,638.6,345.1,1583,856
"2023-08-01 19:02:00",96359,12.51,26.95,638.6,346.1,1583,859
"2023-08-01 19:03:00",96360,12.51,26.89,639.6,344.1,1585,854
"2023-08-01 19:04:00",96361,12.51,26.84,638.6,350.1,1583,869
"2023-08-01 19:05:00",96362,12.51,26.78,640.6,348.1,1588,864
"2023-08-01 19:06:00",96363,12.5,26.73,639.6,347.1,1585,861
"2023-08-01 19:07:00",96364,12.5,26.67,639.6,348.1,1585,864
"2023-08-01 19:08:00",96365,12.51,26.62,640.6,347.1,1588,861
"2023-08-01 19:09:00",96366,12.51,26.57,641.6,347.1,1590,861
"2023-08-01 19:10:00",96367,12.51,26.51,638.6,347.1,1583,861
"2023-08-01 19:11:00",96368,12.51,26.46,640.6,348.1,1588,864
"2023-08-01 19:12:00",96369,12.51,26.41,640.6,349.1,1588,866
"2023-08-01 19:13:00",96370,12.51,26.36,641.6,347.1,1590,861
"2023-08-01 19:14:00",96371,12.51,26.31,641.6,349.1,1590,866
"2023-08-01 19:15:00",96372,12.51,26.26,641.6,349.1,1590,866
"2023-08-01 19:16:00",96373,12.51,26.21,642.6,350.1,1593,869
"2023-08-01 19:17:00",96374,12.51,26.16,640.6,350.1,1588,869
"2023-08-01 19:18:00",96375,12.51,26.11,641.6,354.1,1590,879
"2023-08-01 19:19:00",96376,12.51,26.06,640.6,353.2,1588,876
"2023-08-01 19:20:00",96377,12.51,26.01,643.6,353.1,1595,876
"2023-08-01 19:21:00",96378,12.51,25.96,643.6,354.1,1595,879
"2023-08-01 19:22:00",96379,12.5,25.92,643.6,353.1,1595,876
"2023-08-01 19:23:00",96380,12.51,25.87,642.6,354.1,1593,879
"2023-08-01 19:24:00",96381,12.51,25.82,640.6,356.1,1588,884
"2023-08-01 19:25:00",96382,12.51,25.78,640.6,355.1,1588,881
"2023-08-01 19:26:00",96383,12.51,25.73,641.6,357.2,1590,886
"2023-08-01 19:27:00",96384,12.51,25.68,641.6,356.2,1590,884
"2023-08-01 19:28:00",96385,12.51,25.64,648.6,356.2,1608,884
"2023-08-01 19:29:00",96386,12.51,25.6,644.6,354.1,1598,879
"2023-08-01 19:30:00",96387,12.51,25.55,645.6,353.1,1600,876
"2023-08-01 19:31:00",96388,12.51,25.51,645.6,352.1,1600,874
"2023-08-01 19:32:00",96389,12.51,25.46,645.6,353.1,1600,876
"2023-08-01 19:33:00",96390,12.51,25.42,642.6,353.1,1593,876
"2023-08-01 19:34:00",96391,12.51,25.38,643.6,353.1,1595,876
"2023-08-01 19:35:00",96392,12.51,25.33,643.6,356.1,1595,884
"2023-08-01 19:36:00",96393,12.51,25.29,645.6,355.1,1600,881
"2023-08-01 19:37:00",96394,12.51,25.25,644.6,355.1,1598,881
"2023-08-01 19:38:00",96395,12.51,25.21,646.6,356.2,1603,884
"2023-08-01 19:39:00",96396,12.51,25.17,647.7,357.1,1605,886
"2023-08-01 19:40:00",96397,12.51,25.13,646.6,359.1,1603,891
