"TOA5","CR6Series","CR6","11604","CR6.Std.09.02 RF4xx.01.01","CPU:230526_30s_sw_v1.CR6","51056","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","SEVolt_1","SEVolt_2","SEVoltage_1","SEVoltage_2"
"TS","RN","Volts","Deg C","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-08-16 15:41:00",117758,12.52,40.32,590.5,421.9,1464,1047
"2023-08-16 15:42:00",117759,12.52,40.32,588.5,422,1459,1047
"2023-08-16 15:43:00",117760,12.52,40.32,590.5,420.9,1464,1044
"2023-08-16 15:44:00",117761,12.52,40.29,590.5,419.9,1464,1042
"2023-08-16 15:45:00",117762,12.5,40.23,588.5,419.9,1459,1042
"2023-08-16 15:46:00",117763,12.52,40.16,588.5,418.9,1459,1039
"2023-08-16 15:47:00",117764,12.52,40.08,590.5,418.9,1464,1039
"2023-08-16 15:48:00",117765,12.52,40.02,589.5,419.9,1461,1042
"2023-08-16 15:49:00",117766,12.52,39.96,589.5,417.9,1461,1037
"2023-08-16 15:50:00",117767,12.52,39.92,589.5,416.9,1461,1034
"2023-08-16 15:51:00",117768,12.52,39.88,588.5,417.9,1459,1037
"2023-08-16 15:52:00",117769,12.52,39.85,586.5,414.9,1454,1029
"2023-08-16 15:53:00",117770,12.52,39.83,587.5,413.9,1456,1027
"2023-08-16 15:54:00",117771,12.53,39.82,587.5,414.9,1456,1029
"2023-08-16 15:55:00",117772,12.53,39.81,587.5,414.9,1456,1029
"2023-08-16 15:56:00",117773,12.53,39.81,587.5,414.9,1456,1029
"2023-08-16 15:57:00",117774,12.53,39.82,586.5,412.9,1454,1024
"2023-08-16 15:58:00",117775,12.53,39.83,586.5,413.9,1454,1027
"2023-08-16 15:59:00",117776,12.53,39.84,590.5,412.9,1464,1024
"2023-08-16 16:00:00",117777,12.53,39.85,589.5,411.8,1461,1022
"2023-08-16 16:01:00",117778,12.52,39.87,590.5,411.8,1464,1022
"2023-08-16 16:02:00",117779,12.52,39.9,590.5,411.8,1464,1022
"2023-08-16 16:03:00",117780,12.52,39.92,591.5,412.9,1466,1024
"2023-08-16 16:04:00",117781,12.52,39.95,586.5,411.8,1454,1022
"2023-08-16 16:05:00",117782,12.53,39.98,586.5,410.8,1454,1019
"2023-08-16 16:06:00",117783,12.53,40.01,587.5,409.8,1456,1017
"2023-08-16 16:07:00",117784,12.53,40.04,586.5,408.8,1454,1014
"2023-08-16 16:08:00",117785,12.53,40.07,587.5,409.8,1456,1017
"2023-08-16 16:09:00",117786,12.53,40.1,587.5,409.8,1456,1017
"2023-08-16 16:10:00",117787,12.53,40.14,588.6,402.8,1459,999
"2023-08-16 16:11:00",117788,12.53,40.17,588.5,404.8,1459,1004
"2023-08-16 16:12:00",117789,12.53,40.21,587.5,405.8,1456,1007
"2023-08-16 16:13:00",117790,12.53,40.24,587.5,405.8,1456,1007
"2023-08-16 16:14:00",117791,12.53,40.28,590.5,405.8,1464,1007
"2023-08-16 16:15:00",117792,12.53,40.32,589.5,403.8,1461,1002
"2023-08-16 16:16:00",117793,12.53,40.35,591.5,404.8,1466,1004
"2023-08-16 16:17:00",117794,12.53,40.39,591.5,403.8,1466,1002
"2023-08-16 16:18:00",117795,12.53,40.42,585.5,404.8,1451,1004
"2023-08-16 16:19:00",117796,12.53,40.46,585.5,403.8,1451,1002
"2023-08-16 16:20:00",117797,12.53,40.5,584.5,405.8,1449,1007
"2023-08-16 16:21:00",117798,12.53,40.53,585.5,405.8,1451,1007
"2023-08-16 16:22:00",117799,12.52,40.57,585.5,415.9,1451,1032
"2023-08-16 16:23:00",117800,12.52,40.6,586.5,407.8,1454,1012
"2023-08-16 16:24:00",117801,12.52,40.63,586.5,404.8,1454,1004
"2023-08-16 16:25:00",117802,12.52,40.67,586.5,404.8,1454,1004
"2023-08-16 16:26:00",117803,12.53,40.7,590.5,402.8,1464,999
"2023-08-16 16:27:00",117804,12.53,40.73,588.5,403.8,1459,1002
"2023-08-16 16:28:00",117805,12.53,40.76,592.6,402.8,1469,999
"2023-08-16 16:29:00",117806,12.53,40.79,593.6,403.8,1471,1002
"2023-08-16 16:30:00",117807,12.53,40.82,590.5,404.8,1464,1002
"2023-08-16 16:31:00",117808,12.53,40.85,590.5,403.8,1464,1002
"2023-08-16 16:32:00",117809,12.53,40.87,590.5,403.8,1464,1002
"2023-08-16 16:33:00",117810,12.53,40.9,590.5,402.8,1464,999
"2023-08-16 16:34:00",117811,12.53,40.92,587.5,402.8,1456,999
"2023-08-16 16:35:00",117812,12.53,40.94,588.5,401.8,1459,997
"2023-08-16 16:36:00",117813,12.53,40.96,589.5,401.8,1461,997
"2023-08-16 16:37:00",117814,12.53,40.98,589.5,401.8,1461,997
"2023-08-16 16:38:00",117815,12.53,41,590.5,402.8,1464,999
